       Step     Time          Energy          fmax
LBFGS:    0 22:57:03     -124.875342        1.622018
LBFGS:    1 22:57:04     -124.884571        2.125405
LBFGS:    2 22:57:05     -124.919252        1.103717
LBFGS:    3 22:57:05     -125.002307        1.807859
LBFGS:    4 22:57:06     -125.058552        1.813203
LBFGS:    5 22:57:07     -125.075649        0.612325
LBFGS:    6 22:57:07     -125.081283        0.254694
LBFGS:    7 22:57:08     -125.084621        0.450553
LBFGS:    8 22:57:08     -125.090350        0.500098
LBFGS:    9 22:57:09     -125.092378        0.266309
LBFGS:   10 22:57:10     -125.093074        0.051756
LBFGS:   11 22:57:10     -125.093570        0.170273
LBFGS:   12 22:57:11     -125.094588        0.313033
LBFGS:   13 22:57:12     -125.095839        0.341471
LBFGS:   14 22:57:12     -125.096843        0.205702
LBFGS:   15 22:57:13     -125.097324        0.074102
LBFGS:   16 22:57:13     -125.097693        0.119404
LBFGS:   17 22:57:14     -125.098222        0.221681
LBFGS:   18 22:57:15     -125.098890        0.247363
LBFGS:   19 22:57:15     -125.099383        0.150106
LBFGS:   20 22:57:16     -125.099567        0.030343
