       Step     Time          Energy          fmax
LBFGS:    0 22:57:17     -123.572065        1.430291
LBFGS:    1 22:57:17     -123.622772        1.763335
LBFGS:    2 22:57:18     -123.881915        1.680987
LBFGS:    3 22:57:19     -123.940061        0.695720
LBFGS:    4 22:57:19     -123.979975        0.666074
LBFGS:    5 22:57:20     -124.083764        1.035169
LBFGS:    6 22:57:21     -124.192331        1.031138
LBFGS:    7 22:57:21     -124.265327        0.660817
LBFGS:    8 22:57:22     -124.312712        0.602710
LBFGS:    9 22:57:23     -124.356255        0.563257
LBFGS:   10 22:57:23     -124.396402        0.700927
LBFGS:   11 22:57:24     -124.449950        0.684503
LBFGS:   12 22:57:24     -124.495426        0.414943
LBFGS:   13 22:57:25     -124.525875        0.347899
LBFGS:   14 22:57:26     -124.554642        0.343005
LBFGS:   15 22:57:26     -124.584091        0.343771
LBFGS:   16 22:57:27     -124.610498        0.295731
LBFGS:   17 22:57:28     -124.633843        0.243068
LBFGS:   18 22:57:28     -124.654910        0.180824
LBFGS:   19 22:57:29     -124.670153        0.171952
LBFGS:   20 22:57:30     -124.677560        0.149453
LBFGS:   21 22:57:30     -124.685567        0.112381
LBFGS:   22 22:57:31     -124.689851        0.105130
LBFGS:   23 22:57:31     -124.691479        0.088161
LBFGS:   24 22:57:32     -124.693075        0.069794
LBFGS:   25 22:57:33     -124.695855        0.065184
LBFGS:   26 22:57:33     -124.698857        0.058116
LBFGS:   27 22:57:34     -124.701037        0.040263
