       Step     Time          Energy          fmax
LBFGS:    0 22:57:34     -124.830479        1.699196
LBFGS:    1 22:57:35     -124.836422        2.204129
LBFGS:    2 22:57:36     -124.868122        1.065077
LBFGS:    3 22:57:36     -124.928777        1.680487
LBFGS:    4 22:57:37     -125.025760        3.046844
LBFGS:    5 22:57:38     -125.083162        2.037037
LBFGS:    6 22:57:38     -125.112688        0.888468
LBFGS:    7 22:57:39     -125.123506        0.340064
LBFGS:    8 22:57:39     -125.129120        0.601661
LBFGS:    9 22:57:40     -125.137741        0.660943
LBFGS:   10 22:57:41     -125.141563        0.371152
LBFGS:   11 22:57:41     -125.143033        0.074037
LBFGS:   12 22:57:42     -125.143997        0.213542
LBFGS:   13 22:57:43     -125.145884        0.398820
LBFGS:   14 22:57:43     -125.148165        0.432560
LBFGS:   15 22:57:44     -125.149995        0.255556
LBFGS:   16 22:57:44     -125.150867        0.060633
LBFGS:   17 22:57:45     -125.151540        0.152727
LBFGS:   18 22:57:46     -125.152430        0.273081
LBFGS:   19 22:57:46     -125.153469        0.284053
LBFGS:   20 22:57:47     -125.154151        0.152937
LBFGS:   21 22:57:48     -125.154384        0.020145
