       Step     Time          Energy          fmax
LBFGS:    0 22:57:48     -123.560492        1.387762
LBFGS:    1 22:57:49     -123.611413        1.686672
LBFGS:    2 22:57:50     -123.883751        1.576543
LBFGS:    3 22:57:50     -123.930471        0.693824
LBFGS:    4 22:57:51     -123.977028        0.766495
LBFGS:    5 22:57:51     -124.081770        1.191612
LBFGS:    6 22:57:52     -124.187342        1.159785
LBFGS:    7 22:57:53     -124.258019        0.711310
LBFGS:    8 22:57:53     -124.309404        0.606886
LBFGS:    9 22:57:54     -124.351630        0.613569
LBFGS:   10 22:57:55     -124.393707        0.791136
LBFGS:   11 22:57:55     -124.450295        0.728806
LBFGS:   12 22:57:56     -124.493630        0.398922
LBFGS:   13 22:57:56     -124.522525        0.321027
LBFGS:   14 22:57:57     -124.554844        0.361254
LBFGS:   15 22:57:58     -124.583470        0.401789
LBFGS:   16 22:57:58     -124.612052        0.312417
LBFGS:   17 22:57:59     -124.636557        0.198282
LBFGS:   18 22:58:00     -124.656107        0.182738
LBFGS:   19 22:58:00     -124.669398        0.189889
LBFGS:   20 22:58:01     -124.679824        0.152190
LBFGS:   21 22:58:01     -124.686947        0.108266
LBFGS:   22 22:58:02     -124.689690        0.080528
LBFGS:   23 22:58:03     -124.691277        0.071418
LBFGS:   24 22:58:03     -124.694468        0.070811
LBFGS:   25 22:58:04     -124.697367        0.087483
LBFGS:   26 22:58:05     -124.699508        0.081360
LBFGS:   27 22:58:05     -124.700715        0.060019
LBFGS:   28 22:58:06     -124.701401        0.034496
