       Step     Time          Energy          fmax
LBFGS:    0 22:58:07     -124.835606        1.701778
LBFGS:    1 22:58:07     -124.842059        2.208262
LBFGS:    2 22:58:08     -124.874471        1.078988
LBFGS:    3 22:58:09     -124.938401        1.719206
LBFGS:    4 22:58:09     -125.034776        2.980758
LBFGS:    5 22:58:10     -125.092744        1.919703
LBFGS:    6 22:58:11     -125.118265        0.834823
LBFGS:    7 22:58:11     -125.127355        0.342345
LBFGS:    8 22:58:12     -125.132508        0.603095
LBFGS:    9 22:58:13     -125.141565        0.715042
LBFGS:   10 22:58:13     -125.146204        0.442063
LBFGS:   11 22:58:14     -125.148197        0.099325
LBFGS:   12 22:58:15     -125.149345        0.205101
LBFGS:   13 22:58:15     -125.151322        0.390591
LBFGS:   14 22:58:16     -125.153676        0.418961
LBFGS:   15 22:58:17     -125.155517        0.239893
LBFGS:   16 22:58:17     -125.156366        0.109741
LBFGS:   17 22:58:18     -125.157067        0.156503
LBFGS:   18 22:58:19     -125.158107        0.297874
LBFGS:   19 22:58:19     -125.159377        0.332794
LBFGS:   20 22:58:20     -125.160232        0.198860
LBFGS:   21 22:58:21     -125.160519        0.040024
