       Step     Time          Energy          fmax
LBFGS:    0 22:58:21     -123.558975        1.389593
LBFGS:    1 22:58:22     -123.610231        1.689389
LBFGS:    2 22:58:23     -123.884958        1.567085
LBFGS:    3 22:58:23     -123.931589        0.692470
LBFGS:    4 22:58:24     -123.976959        0.747975
LBFGS:    5 22:58:25     -124.080156        1.155237
LBFGS:    6 22:58:25     -124.191724        1.151234
LBFGS:    7 22:58:26     -124.262735        0.718928
LBFGS:    8 22:58:27     -124.310223        0.408191
LBFGS:    9 22:58:27     -124.353802        0.603284
LBFGS:   10 22:58:28     -124.395844        0.808113
LBFGS:   11 22:58:29     -124.451005        0.768482
LBFGS:   12 22:58:29     -124.495891        0.435125
LBFGS:   13 22:58:30     -124.526699        0.401123
LBFGS:   14 22:58:31     -124.556779        0.404467
LBFGS:   15 22:58:31     -124.584257        0.385477
LBFGS:   16 22:58:32     -124.611424        0.332702
LBFGS:   17 22:58:33     -124.636088        0.274990
LBFGS:   18 22:58:33     -124.655917        0.209217
LBFGS:   19 22:58:34     -124.670317        0.147236
LBFGS:   20 22:58:35     -124.678680        0.133333
LBFGS:   21 22:58:35     -124.686370        0.124781
LBFGS:   22 22:58:36     -124.689830        0.115709
LBFGS:   23 22:58:37     -124.691233        0.099193
LBFGS:   24 22:58:37     -124.694162        0.057245
LBFGS:   25 22:58:38     -124.697197        0.051831
LBFGS:   26 22:58:38     -124.699915        0.057127
LBFGS:   27 22:58:39     -124.701191        0.058055
LBFGS:   28 22:58:40     -124.701802        0.051249
LBFGS:   29 22:58:40     -124.702051        0.041419
