       Step     Time          Energy          fmax
LBFGS:    0 22:56:36     -125.047614        0.372516
LBFGS:    1 22:56:37     -125.052144        0.516698
LBFGS:    2 22:56:37     -125.067445        0.426516
LBFGS:    3 22:56:38     -125.072062        0.186423
LBFGS:    4 22:56:39     -125.073562        0.178868
LBFGS:    5 22:56:39     -125.078614        0.275896
LBFGS:    6 22:56:40     -125.084125        0.355613
LBFGS:    7 22:56:41     -125.089412        0.300085
LBFGS:    8 22:56:41     -125.092321        0.166381
LBFGS:    9 22:56:42     -125.094498        0.182339
LBFGS:   10 22:56:42     -125.096299        0.172528
LBFGS:   11 22:56:43     -125.097723        0.094012
LBFGS:   12 22:56:44     -125.098668        0.121389
LBFGS:   13 22:56:44     -125.099378        0.123365
LBFGS:   14 22:56:45     -125.100142        0.096409
LBFGS:   15 22:56:46     -125.100761        0.067948
LBFGS:   16 22:56:46     -125.101032        0.028008
