       Step     Time          Energy          fmax
LBFGS:    0 22:56:47     -123.530296        2.623469
LBFGS:    1 22:56:47     -123.625085        3.768672
LBFGS:    2 22:56:48     -123.860901        1.290737
LBFGS:    3 22:56:49     -123.966319        0.793986
LBFGS:    4 22:56:49     -124.019621        0.747499
LBFGS:    5 22:56:50     -124.080050        0.963787
LBFGS:    6 22:56:51     -124.169721        1.019703
LBFGS:    7 22:56:51     -124.248108        0.803909
LBFGS:    8 22:56:52     -124.297922        0.532186
LBFGS:    9 22:56:52     -124.345593        0.592991
LBFGS:   10 22:56:53     -124.392446        0.600442
LBFGS:   11 22:56:54     -124.434047        0.484524
LBFGS:   12 22:56:54     -124.473408        0.327460
LBFGS:   13 22:56:55     -124.517072        0.300847
LBFGS:   14 22:56:55     -124.556467        0.339349
LBFGS:   15 22:56:56     -124.584768        0.327058
LBFGS:   16 22:56:57     -124.608367        0.291314
LBFGS:   17 22:56:57     -124.630016        0.187357
LBFGS:   18 22:56:58     -124.647949        0.172451
LBFGS:   19 22:56:58     -124.661033        0.145837
LBFGS:   20 22:56:59     -124.669488        0.170657
LBFGS:   21 22:57:00     -124.674766        0.181922
LBFGS:   22 22:57:00     -124.683645        0.144430
LBFGS:   23 22:57:01     -124.688213        0.081805
LBFGS:   24 22:57:02     -124.690672        0.078809
LBFGS:   25 22:57:02     -124.692709        0.068989
LBFGS:   26 22:57:03     -124.696868        0.046289
